category,status,goal,funded percentage,duration
Music,failed,4000,0.13375,39.96
Fashion,failed,9700,0,35
Publishing,successful,700,1.178571429,30.04
Games,failed,35000,0,46.24
Art,failed,50000,0.0001,84
Film & Video,successful,600,1.033333333,14.65
Games,successful,1000,1.115,36.63
Music,successful,1000,1.06,34.15
Music,failed,5000,0.03,70.32
Publishing,failed,5000,0.393,90
Games,successful,8500,2.027837647,37.2
Publishing,failed,11000,0.033636364,30
Art,successful,3000,1.543333333,41.44
Comics,successful,1000,1.655,30
Film & Video,successful,6000,1.113518333,21
Music,successful,4000,1.01625,60
Publishing,successful,500,1.574,50
Film & Video,successful,27000,1.111296296,29.96
Music,successful,500,1.23066,31.06
Music,successful,3500,1.049142857,60.12
Dance,failed,1200,0.016666667,49.96
Games,failed,10000,0,30
Film & Video,successful,2000,1.0305,30
Design,failed,4000,0.05075,23.23
Music,failed,5000,0.001,40
Music,successful,2800,1.131428571,30.04
Games,failed,3000,0.193,60.04
Film & Video,successful,800,1.0125,15
Theater,successful,1000,1.53,23.47
Art,failed,3500,0.164285714,30.94
Publishing,failed,3000,0.011666667,30
Art,failed,500,0,18
Film & Video,successful,3000,1.154663333,30
Theater,successful,6000,1.049666667,30.05
Music,successful,3500,1.027714286,49.96
Music,successful,5000,1.092,30
Film & Video,failed,1500,0.016666667,35.2
Film & Video,successful,1001,1.455544456,30
Film & Video,successful,5000,1.009,30.22
Fashion,failed,14000,0.091142857,33.41
Food,successful,2000,1.0495,30.55
Film & Video,failed,2500,0.088,30.04
Music,successful,7000,1.433428571,30
Music,failed,3500,0.065714286,80.58
Music,successful,1000,1.22,40.96
Publishing,failed,30000,0,60
Film & Video,failed,5000,0,30
Film & Video,successful,1100,1.009145455,18.05
Film & Video,successful,10000,1.0333,41.26
Theater,successful,2500,1.0144,36.3
Theater,successful,1000,1.2,29.96
Publishing,failed,6500,0.268615385,30
Music,successful,2500,1.083644,30
Art,successful,4000,1.02475,55.43
Film & Video,failed,20000,0.20475,30
Film & Video,successful,900,1.809011111,30
Film & Video,successful,2000,1.04,50
Music,failed,500,0,60
Design,successful,6000,1.295166667,23.72
Publishing,successful,3000,3.0445,29.96
Film & Video,failed,8000,0.003125,59.13
Film & Video,failed,3000,0,34.68
Film & Video,failed,2525,0.126732673,30.04
Music,successful,900,1.277777778,29.96
Music,failed,800,0.025,49.81
Film & Video,failed,18000,0.029722222,47
Music,successful,2200,1.169545455,41.27
Film & Video,failed,10000,0.2091,59.96
Music,successful,500,1.324,29.96
